question_id,difficulty,type,domain,deepseek-v3.2,ERNIE-4.5-Turbo-128K,glm-4.7,kimi-k2-thinking,MiniMax-M2,qwen3-max,router,drift,reasoning
1,L2,Reasoning,Composition,0.5351962827939374,0.6434291444041047,0.5252056205621671,0.49482592844795986,0.5834120449256424,0.5231379663783498,0.5211201699474208,0.4127744069445776,0.4985229196667472
2,L2,Numerical,Composition,0.5232809236727316,0.5581499879811718,0.5258913076521521,0.5051843856327427,0.5411948921851719,0.5754068225649114,0.4256566492030368,0.5634333494071723,0.5477141202044783
3,L2,Reasoning,Composition,0.6738829428178027,0.7182467126242811,0.6670829638169553,0.6410248768721538,0.24,0.6624251757613726,0.7059039295743099,0.7150955142050088,0.7509023800368961
4,L2,Reasoning,Composition,0.7401176207595666,0.6797062946726581,0.7279259073455351,0.682877743704498,0.7071443350009222,0.7421060384102607,0.7683738124240933,0.7033383535307149,0.6950688181187588
5,L2,Reasoning,Composition,0.5030472592678331,0.5170366083890183,0.509026753280355,0.5252212252433011,0.24,0.5085034242772262,0.5150324709252305,0.49927116819311645,0.5181929874327207
6,L2,Reasoning,Composition,0.6703014827279834,0.6484291078919657,0.6168912455411428,0.0,0.0,0.5210658788449583,0.6965055635076622,0.6907531177381594,0.739345003214416
7,L1,Fact Retrieval,Composition,0.8369532426041195,0.8210282225553918,0.8542818369691775,0.8519434371594482,0.48,0.8397428298525071,0.8442204323790996,0.8955862035874617,0.8307002596196518
8,L1,Fact Retrieval,Composition,0.8695587018375796,0.8188797720795097,0.8531163027803093,0.48,0.48,0.8466994722511825,0.8438074003777408,0.7901508134577581,0.8196343980214958
9,L2,Reasoning,Composition,0.40025320070652703,0.6073423870325922,0.39827969001170593,0.36850712336680735,0.0,0.3670589466091892,0.45767131036983194,0.5494055722004254,0.3892409877930264
10,L2,Reasoning,Composition,0.5923056538385911,0.5919487165208372,0.4784630829943584,0.0,0.4492128348059983,0.4451519898768934,0.44068391132849993,0.448186168994985,0.5078375121463993
11,L2,Reasoning,Composition,0.814617828170884,0.825111297563556,0.8293604952750904,0.8218426577745049,0.8167358790646626,0.8285904432747389,0.8137802587971361,0.8044237354894641,0.8206055479244808
12,L2,Reasoning,Composition,0.6681639324735761,0.7589137421114981,0.7395270213225261,0.7108882277515277,0.24,0.6989185986096593,0.69444745376335,0.6279563020636683,0.7235401166594111
13,L2,Reasoning,Composition,0.6575553645959914,0.518796025623304,0.6331187115887522,0.7075892991304017,0.24,0.7336364240793667,0.7701888925037932,0.5567131765413995,0.5152539593556174
14,L2,Reasoning,Composition,0.8239579976698239,0.813368183679341,0.8306567728394559,0.8198707581907676,0.8595496937219733,0.8226773640705922,0.8233102958489231,0.8545547139512648,0.8140976185316402
15,L2,Reasoning,Composition,0.673528875190172,0.6635575966988005,0.6716302642038651,0.6638527546902485,0.6784524202696012,0.6640622981293052,0.6836498029033375,0.7180655030391336,0.6857738447482155
16,L2,Reasoning,Composition,0.7858240846887645,0.811727617109589,0.7889293615400581,0.8029458996381166,0.8283046425790919,0.8037229324985362,0.7709099311666515,0.7812890834193056,0.7965536792862042
17,L2,Reasoning,Composition,0.6621209264383232,0.7168227814447474,0.6406259713670736,0.5436990978962857,0.5911754027226711,0.6158934097656164,0.5968528140125335,0.6066794926914874,0.6122805960505252
18,L2,Reasoning,Composition,0.8190973246160786,0.8119286868934175,0.8162788264313303,0.8423162583436727,0.8048497604236877,0.815629590560454,0.7994828868796404,0.7872838875212498,0.8093273597215171
19,L1,Fact Retrieval,Composition,0.8139334495145834,0.8467758606177639,0.8543899138384234,0.848256219329098,0.48,0.8355472579589134,0.8153602168292748,0.8189107401877485,0.8346162481810648
20,L2,Numerical,Composition,0.6004603740869625,0.6100184395397088,0.5750165606231274,0.5617761916211321,0.24,0.5885837973664966,0.5819535298228448,0.6112782213024333,0.5900441280340223
21,L2,Reasoning,Composition,0.7744506086651285,0.7504552804932079,0.7636711307410736,0.7634245643462146,0.7771848659238466,0.7668916288461692,0.7741516940645373,0.7729296418200912,0.7507015244650089
22,L4,Design/Discovery,Composition,1.0,0.57,1.0,1.0,0.0,1.0,0.83,0.825,0.71
23,L1,Fact Retrieval,Composition,0.6807293173045188,0.6574385150443072,0.7082704217134397,0.6601140092923046,0.24,0.6925782268193559,0.6029599377140372,0.6625897801270126,0.6541716943753786
24,L2,Reasoning,Composition,0.8495473759063681,0.8596390923409442,0.8754260519988768,0.8776011873694542,0.48,0.8705111057708533,0.835113208574993,0.8442960657035887,0.8476366602646611
25,L2,Numerical,Composition,0.494312883319284,0.4980516915521964,0.4644123947829313,0.4127104043290523,0.0,0.44139109514855057,0.4479456817614633,0.41243089595836746,0.4598104070285931
26,L2,Reasoning,Composition,0.6909980575643835,0.7180659106665301,0.6742186839240287,0.7154472119449149,0.6722510778594233,0.6707498694598162,0.6687176671147381,0.6491155050333957,0.6302701486364592
27,L2,Reasoning,Composition,0.851305616693025,0.8308765355412417,0.8291785862494413,0.8178732402334911,0.8499920962691151,0.8179966729046855,0.8412286466708405,0.8229540601705174,0.8215867413519526
28,L1,Fact Retrieval,Composition,0.8024585571086664,0.8032126408018485,0.7959186432529349,0.8128997353323231,0.8178029546513972,0.778229987589414,0.766197423954759,0.7900536634439129,0.8000371652621339
29,L2,Reasoning,Composition,0.7953191675205077,0.8126374576930837,0.8107664158705228,0.8013388527676066,0.7995948670657114,0.818276998034607,0.7821932670872878,0.7710052122779733,0.7811014834752013
30,L4,Design/Discovery,Composition,0.695,0.615,0.455,0.695,0.0,0.695,0.605,0.42,0.61
31,L2,Reasoning,Composition,0.7689007406839156,0.8078824018720698,0.7733151585518019,0.6329241685519799,0.6931697803637713,0.7745905670266442,0.7758349565916729,0.7216515629015086,0.7279136488133543
32,L2,Reasoning,Composition,0.8514619007734919,0.8622465769686999,0.8655930560395122,0.8652556584757258,0.24,0.8665872425853096,0.8645778641400331,0.9265663505077071,0.8721924264539929
33,L2,Reasoning,Composition,0.7494660313856067,0.7099390866619943,0.7032533877177707,0.0,0.0,0.7077696890916019,0.7175171116200769,0.7007762379631564,0.8008633975735511
34,L2,Reasoning,Composition,0.7177526896592831,0.7362658804614047,0.7140314575783387,0.7366742935045281,0.48,0.7209439546698304,0.7250015181627955,0.760701910989987,0.7221488095647519
35,L2,Reasoning,Composition,0.6251294301553778,0.6588692209693794,0.6590775175517365,0.6127500655771027,0.24,0.6435993148311365,0.6835287711735587,0.5922936794121839,0.5871099031260367
36,L2,Reasoning,Composition,0.8324252771277383,0.8280087745834865,0.8493079895690842,0.8135162933535007,0.48,0.8348224072718968,0.8351659547806743,0.8718357663596987,0.8401250784298491
37,L2,Reasoning,Composition,0.7772496755360068,0.8029414527429184,0.7409553624066724,0.7341699764664811,0.7778986357518396,0.8223962592738615,0.7786672435575361,0.8490265027691835,0.8075767076408717
38,L2,Reasoning,Composition,0.752187266643242,0.7633193492891805,0.7605976174184521,0.734001362863341,0.7753278242357,0.7737018739190493,0.7608800758539536,0.7802347274289014,0.750172754742886
39,L2,Numerical,Composition,0.6966981620777141,0.7689885477802036,0.7430583451161732,0.7066085387984314,0.24,0.6783343491155825,0.7229038652443799,0.6123953330439288,0.6995199708499195
40,L2,Reasoning,Composition,0.6464727797508752,0.6438337696702029,0.7005214467078635,0.6303429447243104,0.24,0.6417988889601336,0.6590695754022804,0.6099717005241942,0.6793801558699467
41,L2,Reasoning,Composition,0.8691598164897443,0.8634268141344319,0.8694952380838309,0.8595077722267497,0.48,0.8829016372836482,0.871372124793938,0.8705341569311364,0.8659843680072292
42,L2,Reasoning,Composition,0.7375984215416516,0.7112999027012334,0.736666112541967,0.734159095738417,0.699037140266868,0.7160843170953557,0.7279372553050804,0.7993989896167817,0.7184294411750969
43,L3,Global Summary,Composition,0.8970346816389122,0.7296895644650685,0.8036111293830085,0.828089975932357,0.835157575515356,0.8330137867584934,0.8187927740196954,0.8060651472998006,0.7484641222753017
44,L2,Reasoning,Composition,0.8074314103949345,0.8319319742248639,0.8311020653909948,0.7894489255908548,0.8268497529516419,0.8094946443751408,0.8075044522186965,0.8233819082730458,0.8044392095789761
45,L2,Reasoning,Composition,0.6340938868104653,0.6686577658256971,0.6565045209803928,0.24,0.6210923512462537,0.6398314229747273,0.651619073787675,0.6788719250468835,0.6416160211879152
46,L4,Design/Discovery,Composition,1.0,0.595,0.71,0.875,0.0,0.765,0.545,0.595,0.595
47,L1,Fact Retrieval,Composition,0.6227333574861421,0.6067458080369696,0.6170363783334752,0.6059936281404787,0.24,0.6793080180771005,0.6415621325324006,0.5382960105610552,0.6114094254077749
48,L2,Reasoning,Composition,0.6192168032342379,0.7219221869852286,0.679038296711024,0.24,0.6583726113344863,0.7211257169062487,0.6881161337292857,0.8936769862427876,0.7025001795561752
49,L2,Reasoning,Composition,0.769008521939589,0.7885058720457481,0.7964833655543324,0.7778529356821415,0.24,0.7618179177895561,0.7432180398035539,0.849717766208393,0.7411136367084945
50,L2,Reasoning,Composition,0.7952071260701619,0.7911812157099536,0.7829657684493656,0.7749539255785827,0.7857162605213048,0.7948159769630165,0.776847538891501,0.8019466703449182,0.77199627727016
51,L2,Reasoning,Composition,0.784164451360343,0.7684414810371643,0.782068204328789,0.7839837209523616,0.48,0.7855829392577633,0.7561095625538887,0.758196183858403,0.7745686225140644
52,L3,Global Summary,Composition,0.5053894777226554,0.27323850791715987,0.5043995721079971,0.43546971093797177,0.28306829629274655,0.541553387213473,0.3424355725374292,0.3329010163750326,0.5448376503415009
53,L2,Reasoning,Composition,0.8121487094130035,0.8310229375157416,0.8163464587008857,0.8023456174169996,0.48,0.8034865589122824,0.838312213923166,0.8436898953713781,0.8212022821175731
54,L4,Design/Discovery,Composition,1.0,0.53,1.0,1.0,0.93,0.9225,0.695,0.83,0.8725
55,L2,Reasoning,Composition,0.8174767078542539,0.819308663578248,0.8340945270158596,0.8462358595321368,0.8502474691240932,0.8369341344707341,0.8398115920408799,0.857208992283549,0.8414094755413596
56,L2,Numerical,Composition,0.6745737287418981,0.7178765685415167,0.7682078780003695,0.7112871200365009,0.7513767292826766,0.7170662082330699,0.6693267897833415,0.6821016538007432,0.7220445348918739
57,L4,Design/Discovery,Composition,1.0,0.525,1.0,1.0,0.0,1.0,0.9325,0.695,0.9825
